,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_10,calculate_avg_zscore_sums_1_10,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_20,calculate_avg_zscore_sums_2_20
2195,2021-12-06 09:15:00,4336.25,4346.45,4225.05,4244.0,140165,2021-12-06 15:29:00,2021-12-06 09:15:00,179465.3653312535,135724.46766848816,0.02474311588375618,6.352656907269822,5.911487767482446,179465.3653312535,135724.46766848816,0.02474311588375618,11.870334946948455,18.32591602589074
2196,2021-12-07 09:15:00,4267.0,4298.3,4130.3,4179.0,205037,2021-12-07 15:29:00,2021-12-07 09:15:00,179430.6082358798,135756.01638598088,0.38611574856248726,6.661099087834765,6.11257228815016,179430.6082358798,135756.01638598088,0.38611574856248726,11.311352968992383,17.409005536693495
2197,2021-12-08 09:15:00,4214.0,4378.8,4208.1,4297.0,360008,2021-12-08 15:29:00,2021-12-08 09:15:00,179453.51658276806,135858.04185623294,1.2490697447011798,7.775232801214016,6.441552813445997,179453.51658276806,135858.04185623294,1.2490697447011798,12.260660349469642,16.564756247520307
2198,2021-12-09 09:15:00,4326.25,4354.45,4281.0,4344.8,220099,2021-12-09 15:29:00,2021-12-09 09:15:00,179421.69788585533,135896.35061391542,0.46930025954638277,7.719515877929472,6.708530172010998,179421.69788585533,135896.35061391542,0.46930025954638277,12.76925817020893,15.932297495045177
2199,2021-12-10 09:15:00,4335.15,4358.9,4290.0,4340.0,118693,2021-12-10 15:29:00,2021-12-10 09:15:00,179381.29039209126,135888.5309090909,-0.09586022528606498,7.548277563080093,6.925623782494118,179381.29039209126,135888.5309090909,-0.09586022528606498,12.92561902132898,15.347634394396815
2200,2021-12-13 09:15:00,4360.0,4550.0,4359.0,4438.8,549739,2021-12-13 15:29:00,2021-12-13 09:15:00,179557.2556710715,136076.55929123127,2.3037912846393205,9.28796743330481,7.298341795201182,179557.2556710715,136076.55929123127,2.3037912846393205,14.84875473953898,14.857258474044107
2201,2021-12-14 09:15:00,4448.0,4459.5,4325.3,4414.95,332411,2021-12-14 15:29:00,2021-12-14 09:15:00,179565.20837350973,136165.72116257946,1.092891438241282,8.396467019137548,7.454420218288137,179565.20837350973,136165.72116257946,1.092891438241282,15.232149807405545,14.381244595378329
2202,2021-12-15 09:15:00,4420.0,4450.0,4335.0,4368.7,196533,2021-12-15 15:29:00,2021-12-15 09:15:00,179529.0540763196,136193.12346799817,0.3361008993360526,8.51699965973359,7.6909310311981995,179529.0540763196,136193.12346799817,0.3361008993360526,14.668891190366526,13.978812123623518
2203,2021-12-16 09:15:00,4400.0,4560.0,4400.0,4519.0,382967,2021-12-16 15:29:00,2021-12-16 09:15:00,179565.23988463826,136305.08983666063,1.373661797360154,7.914570271136357,7.694776475531273,179565.23988463826,136305.08983666063,1.373661797360154,15.790686098941983,13.652304508960645
2204,2021-12-17 09:15:00,4560.0,4752.1,4551.05,4660.0,1318080,2021-12-17 15:29:00,2021-12-17 09:15:00,181279.1774490136,136841.04217687075,6.5161314964338,13.655945559418356,8.382873218005882,181279.1774490136,136841.04217687075,6.5161314964338,20.43092369409061,13.625207117976412
2205,2021-12-20 09:15:00,4670.0,4670.0,4352.3,4437.0,447852,2021-12-20 15:29:00,2021-12-20 09:15:00,181358.9567561455,136982.0262919311,1.71411425864157,15.345316702176168,9.282139197496516,181358.9567561455,136982.0262919311,1.71411425864157,21.697973609445985,13.703405289760397
2206,2021-12-21 09:15:00,4499.8,4556.95,4385.05,4425.15,646722,2021-12-21 15:29:00,2021-12-21 09:15:00,181642.08467832458,137212.99139102854,2.805016301763307,17.764217255376987,10.392451014250739,181642.08467832458,137212.99139102854,2.805016301763307,24.425316343211747,13.997346331961873
2207,2021-12-22 09:15:00,4447.0,4579.5,4432.5,4530.0,312946,2021-12-22 15:29:00,2021-12-22 09:15:00,181639.43454088946,137292.58061594202,0.9670445177724667,17.482192028448278,11.363146936974164,181639.43454088946,137292.58061594202,0.9670445177724667,25.257424829662288,14.497541531324993
2208,2021-12-23 09:15:00,4570.0,4677.75,4520.05,4677.0,270610,2021-12-23 15:29:00,2021-12-23 09:15:00,181620.45820010273,137352.93254866457,0.7337117677817865,17.74660353668368,12.365855702849586,181620.45820010273,137352.93254866457,0.7337117677817865,25.466119414613143,15.086946720801382
2209,2021-12-24 09:15:00,4691.0,4788.8,4602.5,4619.95,364907,2021-12-24 15:29:00,2021-12-24 09:15:00,181643.84024152017,137455.89819004523,1.2521817503281565,19.0946455122979,13.520492497771368,181643.84024152017,137455.89819004523,1.2521817503281565,26.642923075377986,15.796859166644126
2210,2021-12-27 09:15:00,4623.0,4639.85,4534.85,4616.55,187807,2021-12-27 15:29:00,2021-12-27 09:15:00,181605.91385205678,137478.671189507,0.2771293497165098,17.06798357737509,14.298494112178394,181605.91385205678,137478.671189507,0.2771293497165098,26.35595101067989,16.666452625354115
2211,2021-12-28 09:15:00,4650.0,4680.0,4616.05,4644.6,145613,2021-12-28 15:29:00,2021-12-28 09:15:00,181564.94138811476,137482.3485533454,0.04478095487208875,16.0198730940059,15.060834719665229,181564.94138811476,137482.3485533454,0.04478095487208875,24.416340113143438,17.407039045837458
2212,2021-12-29 09:15:00,4645.0,4683.95,4616.45,4654.5,157872,2021-12-29 15:29:00,2021-12-29 09:15:00,181524.43162076824,137491.56213285134,0.11227380075055932,15.796045995420403,15.788739353233911,181524.43162076824,137491.56213285134,0.11227380075055932,24.31304565515399,18.15225433991591
2213,2021-12-30 09:15:00,4661.9,4860.0,4633.1,4857.0,488938,2021-12-30 15:29:00,2021-12-30 09:15:00,181636.99785928993,137650.30036133694,1.9340096113612146,16.356393809421462,16.632921707062422,181636.99785928993,137650.30036133694,1.9340096113612146,24.270964080557814,18.821095165231498
2214,2021-12-31 09:15:00,4858.7,4925.0,4801.0,4899.95,349261,2021-12-31 15:29:00,2021-12-31 09:15:00,181651.62082764917,137745.83566591423,1.1644000938189871,11.00466240680665,16.36779339180125,181651.62082764917,137745.83566591423,1.1644000938189871,24.660607966225,19.480764854268166
