,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_10,calculate_avg_zscore_sums_1_10,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_20,calculate_avg_zscore_sums_2_20
435,2014-10-08 09:15:00,1348.0,1348.0,1310.0,1348.0,166075,2014-10-08 15:29:00,2014-10-08 09:15:00,132298.45893988694,111151.77981651376,0.4151463337032667,0.7269234764287131,-1.127822601601975,132298.45893988694,111151.77981651376,0.4151463337032667,-1.419357599439862,-0.5156633258279975
436,2014-10-09 09:15:00,1323.0,1357.4,1320.0,1348.15,101601,2014-10-09 15:29:00,2014-10-09 09:15:00,132147.78898479897,111129.92448512586,-0.07210808866595546,0.4980302975679227,-0.852773162706303,132147.78898479897,111129.92448512586,-0.07210808866595546,-1.7544337938208734,-0.6057866033650776
437,2014-10-10 09:15:00,1345.0,1349.45,1300.0,1300.0,50246,2014-10-10 15:29:00,2014-10-10 09:15:00,132028.83016329477,110990.9200913242,-0.4600883005340135,-0.29322485861562375,-0.7006090823210982,132028.83016329477,110990.9200913242,-0.4600883005340135,-2.1080905210832945,-0.7278178781204705
438,2014-10-13 09:15:00,1352.0,1355.0,1314.3,1355.0,90412,2014-10-13 15:29:00,2014-10-13 09:15:00,131882.01896618513,110944.04328018223,-0.15568493295091804,-0.08725597969564938,-0.5350692124768066,131882.01896618513,110944.04328018223,-0.15568493295091804,-1.8299106578342124,-0.8491690361422298
439,2014-10-14 09:15:00,1350.0,1354.0,1333.25,1340.0,154488,2014-10-14 15:29:00,2014-10-14 09:15:00,131748.38577309347,111043.00681818182,0.3297573091835999,0.5487429283345433,-0.32857495847973117,131748.38577309347,111043.00681818182,0.3297573091835999,-0.967456683301666,-0.8954855444255969
440,2014-10-16 09:15:00,1344.95,1369.95,1330.0,1331.0,135833,2014-10-16 15:29:00,2014-10-16 09:15:00,131604.20888304317,111099.21995464852,0.18794064608778904,0.7868579044760773,-0.06721999979865637,131604.20888304317,111099.21995464852,0.18794064608778904,-1.0398337778585918,-0.9797014347671219
441,2014-10-17 09:15:00,1340.0,1364.0,1310.0,1320.0,89705,2014-10-17 15:29:00,2014-10-17 09:15:00,131459.1808626093,111050.81674208144,-0.16237600601201368,0.344871775431752,0.08471217257454351,131459.1808626093,111050.81674208144,-0.16237600601201368,-0.829578172868493,-1.0620311558106006
442,2014-10-20 09:15:00,1350.0,1390.0,1326.0,1390.0,92760,2014-10-20 15:29:00,2014-10-20 09:15:00,131313.5923448905,111009.52821670429,-0.1389766884815134,-0.02713992427803527,0.16326960079962924,131313.5923448905,111009.52821670429,-0.1389766884815134,-0.839854130806926,-1.1637529160474656
443,2014-10-21 09:15:00,1385.1,1396.2,1352.05,1364.0,68321,2014-10-21 15:29:00,2014-10-21 09:15:00,131181.24265026543,110913.38288288288,-0.32468348387608986,-0.11573288084873509,0.22307480663009027,131181.24265026543,110913.38288288288,-0.32468348387608986,-0.829517820002079,-1.2506080791225798
444,2014-10-22 09:15:00,1360.3,1371.2,1355.0,1370.0,54694,2014-10-22 15:29:00,2014-10-22 09:15:00,131060.80325282774,110787.04719101124,-0.42799254848761187,-0.8090657600334616,0.15730069787675044,131060.80325282774,110787.04719101124,-0.42799254848761187,-0.9603904325335229,-1.244074392235034
445,2014-10-27 09:15:00,1377.0,1378.1,1361.0,1363.05,18638,2014-10-27 15:29:00,2014-10-27 09:15:00,130986.32475952634,110580.43497757848,-0.7019239233284291,-1.9261360170651574,-0.10800525147263662,130986.32475952634,110580.43497757848,-0.7019239233284291,-1.1992125406364424,-1.2279531465585687
446,2014-10-28 09:15:00,1370.3,1384.75,1357.75,1372.0,33116,2014-10-28 15:29:00,2014-10-28 09:15:00,130890.90201054273,110407.13646532438,-0.590500449443758,-2.44452837784296,-0.40226111901372497,130890.90201054273,110407.13646532438,-0.590500449443758,-1.9464980802750356,-1.288814737518052
447,2014-10-29 09:15:00,1373.85,1393.0,1355.1,1385.0,45813,2014-10-29 15:29:00,2014-10-29 09:15:00,130780.26919746587,110262.953125,-0.4928109838012847,-2.4772510611102314,-0.6206637392631856,130780.26919746587,110262.953125,-0.4928109838012847,-2.7704759197258535,-1.4119180604812835
448,2014-10-30 09:15:00,1382.95,1436.0,1373.0,1425.0,47997,2014-10-30 15:29:00,2014-10-30 09:15:00,130667.52485779588,110124.27616926504,-0.4754607255083274,-2.7970268536676404,-0.8916408266603849,130667.52485779588,110124.27616926504,-0.4754607255083274,-2.884282833363288,-1.5189540932979433
449,2014-10-31 09:15:00,1426.0,1457.95,1391.1,1416.25,66148,2014-10-31 15:29:00,2014-10-31 09:15:00,130538.68338403945,110026.55111111111,-0.336134469673041,-3.462918632524281,-1.2928069827462672,130538.68338403945,110026.55111111111,-0.336134469673041,-2.914175704189736,-1.626931902008008
450,2014-11-03 09:15:00,1401.0,1422.2,1376.1,1381.5,31813,2014-11-03 15:29:00,2014-11-03 09:15:00,130445.76765100064,109853.12860310421,-0.5982572681997289,-4.249116546811799,-1.7964044278750548,130445.76765100064,109853.12860310421,-0.5982572681997289,-3.46225864233572,-1.7802182232741621
451,2014-11-05 09:15:00,1393.0,1436.8,1391.45,1407.0,60847,2014-11-05 15:29:00,2014-11-05 09:15:00,130321.73104898883,109744.70796460177,-0.3752076309224344,-4.46194817172222,-2.277086422590452,130321.73104898883,109744.70796460177,-0.3752076309224344,-4.117076396290466,-1.8630516799590562
452,2014-11-07 09:15:00,1469.0,1509.9,1434.2,1485.0,374133,2014-11-07 15:29:00,2014-11-07 09:15:00,130767.8417504377,110328.34657836644,2.017351130754978,-2.305620352485729,-2.5049344654112216,130767.8417504377,110328.34657836644,2.017351130754978,-2.332760276763762,-1.885733298662005
453,2014-11-10 09:15:00,1501.1,1502.0,1461.0,1494.85,35603,2014-11-10 15:29:00,2014-11-10 09:15:00,130670.71184161601,110163.75330396475,-0.5706003453500637,-2.5515372139597026,-2.748514898722318,130670.71184161601,110163.75330396475,-0.5706003453500637,-2.667270094808436,-1.9266470840613632
