,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5
15839,2022-03-16 11:15:00,2703.15,2719.85,2701.0,2712.9,15707,2022-03-16 12:14:00,2022-03-16 11:15:00,87637.02359673346,26180.94027777778,-0.11951501600481307,0.5882815996318584,0.7845634484110008
15840,2022-03-16 12:15:00,2712.9,2719.0,2705.0,2708.85,13911,2022-03-16 13:14:00,2022-03-16 12:15:00,87634.31162893324,26180.165709235527,-0.1400041317285221,-0.018747089342904588,0.7932789173168524
15841,2022-03-16 13:15:00,2708.85,2714.6,2705.0,2709.05,8462,2022-03-16 14:14:00,2022-03-16 13:15:00,87631.65876002266,26179.047279383914,-0.20217633136332216,-0.276675755474784,0.7924439631602235
15842,2022-03-16 14:15:00,2707.8,2734.3,2694.05,2733.7,61841,2022-03-16 15:14:00,2022-03-16 14:15:00,87629.35109087858,26181.298238969892,0.4069378731795945,-0.07920543398776458,0.79294848204127
15843,2022-03-16 15:15:00,2733.75,2734.4,2720.15,2725.05,33973,2022-03-16 15:29:00,2022-03-16 15:15:00,87626.60753040329,26181.79001514769,0.0889137466853209,0.034156140768255884,0.7956673021188403
15844,2022-03-17 09:15:00,2770.0,2795.15,2759.6,2785.55,78315,2022-03-17 10:14:00,2022-03-17 09:15:00,87624.82107941831,26185.08021457873,0.5949218399906755,0.7485929967637445,0.8170268411629593
15845,2022-03-17 10:15:00,2786.0,2807.1,2785.55,2805.0,51467,2022-03-17 11:14:00,2022-03-17 10:15:00,87622.28630766006,26186.675691026125,0.28851477602637987,1.1771119045186464,0.8482646980677977
15846,2022-03-17 11:15:00,2805.0,2814.0,2785.75,2809.45,54698,2022-03-17 12:14:00,2022-03-17 11:15:00,87619.8143348319,26188.474853284533,0.32537760280761,1.7046658386895788,0.8955407976299071
15847,2022-03-17 12:15:00,2809.1,2824.95,2800.9,2813.45,64980,2022-03-17 13:14:00,2022-03-17 12:15:00,87617.59172647209,26190.922576981324,0.44270878323284535,1.7404367487428294,0.9346545252334659
15848,2022-03-17 13:15:00,2813.45,2817.85,2800.0,2800.0,60422,2022-03-17 14:14:00,2022-03-17 13:15:00,87615.24944046419,26193.08240267525,0.3906730599515531,2.0421960620090616,0.9700524367360821
15849,2022-03-17 14:15:00,2802.0,2816.15,2800.0,2815.35,97984,2022-03-17 15:14:00,2022-03-17 14:15:00,87614.3410976842,26197.611798107257,0.8193451814224758,2.266619403440862,0.9937503073680374
