,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
72,2024-01-15 11:15:00,1670.85,1671.0,1663.5,1667.65,1131728,2024-01-15 12:14:00,-0.0019469536335405394,0.0056211147060224445,0.08923242961862,0.0673926961680725,-0.0019469536335405394,0.004777949062056943,0.07584758997082193,0.05584599700257971
73,2024-01-15 12:15:00,1667.65,1673.0,1667.4,1671.85,1541263,2024-01-15 13:14:00,0.002515347934984754,0.004854117154899235,0.07705672095981463,0.07523611886250692,0.002515347934984754,0.004712543943687414,0.07480931590476284,0.05895833209604353
74,2024-01-15 13:15:00,1671.8,1672.65,1666.55,1668.75,1327428,2024-01-15 14:14:00,-0.0018559545529823797,0.005339034246827612,0.08475454115017741,0.0843964789690414,-0.0018559545529823797,0.004534477342728086,0.07198259624709309,0.0615505719655437
75,2024-01-15 14:15:00,1669.3,1670.5,1664.3,1669.5,2552988,2024-01-15 15:14:00,0.00044933723514966017,0.002227978587439963,0.0353680636124587,0.07366446837963432,0.00044933723514966017,0.004369102432972033,0.06935735094126749,0.06383838163231903
76,2024-01-15 15:15:00,1669.0,1680.9,1668.8,1679.7,2051753,2024-01-15 15:29:00,0.006091025639248143,0.003011520585944943,0.04780640723137102,0.06684363251448835,0.006091025639248143,0.004401280175649302,0.0698681567705204,0.0661350953063624
77,2024-01-16 09:15:00,1673.0,1680.0,1658.1,1670.25,2752170,2024-01-16 10:14:00,-0.005641890217370569,0.003960292305660977,0.06286769135940924,0.0615706848626462,-0.005641890217370569,0.004991654532585582,0.07924005914381886,0.06906635265188718
78,2024-01-16 10:15:00,1670.25,1673.7,1667.6,1670.3,2015347,2024-01-16 11:14:00,2.9935190315217928e-05,0.003805438669952743,0.06040946610122017,0.058241233890927314,2.9935190315217928e-05,0.004778390740265684,0.07585460139502101,0.071623490691802
79,2024-01-16 11:15:00,1670.35,1675.6,1669.45,1671.65,1481899,2024-01-16 12:14:00,0.0008079115925919127,0.0037197870565745237,0.05904978889087885,0.0531002834390676,0.0008079115925919127,0.004786971438990991,0.07599081576443499,0.07405768150270828
80,2024-01-16 12:15:00,1671.65,1675.0,1668.95,1674.35,1422849,2024-01-16 13:14:00,0.001613867654529414,0.003755175592298804,0.05961156447961387,0.05794898361249863,0.001613867654529414,0.003087559450642036,0.0490134867871562,0.07162029806856139
81,2024-01-16 13:15:00,1674.3,1675.0,1669.35,1671.9,1744890,2024-01-16 14:14:00,-0.001464325999422873,0.0025651699576456975,0.04072081067126763,0.05653186430047795,-0.001464325999422873,0.0029675281600636703,0.04710804912065729,0.0689072022045554
82,2024-01-16 14:15:00,1671.95,1683.65,1670.5,1679.35,2541036,2024-01-16 15:14:00,0.004446109524840533,0.001962944043033082,0.031160770652407233,0.05019048015907755,0.004446109524840533,0.0031494027146854314,0.04999521816869617,0.06632196502434283
83,2024-01-16 15:15:00,1679.35,1680.0,1677.0,1678.8,698300,2024-01-16 15:29:00,-0.000327561309005045,0.0020061689224410597,0.03184694434059283,0.044477975806952084,-0.000327561309005045,0.003100558742269835,0.04921984414435916,0.06376301784830248
84,2024-01-17 09:15:00,1570.0,1596.8,1560.0,1581.25,30897775,2024-01-17 10:14:00,-0.05986357898360539,0.024454449135272147,0.3882023451660518,0.11030848706198668,-0.05986357898360539,0.018406461144039973,0.2921935122234192,0.08578410944593509
85,2024-01-17 10:15:00,1581.2,1581.75,1570.2,1571.1,9874019,2024-01-17 11:14:00,-0.006439662522278692,0.0238197281587155,0.3781264620307421,0.17401146657221234,-0.006439662522278692,0.01830380418053185,0.29056388344867007,0.10790476269667533
86,2024-01-17 11:15:00,1571.0,1571.35,1553.0,1565.25,8456484,2024-01-17 12:14:00,-0.0037304553281318448,0.02362180120959899,0.374984469120022,0.2408641982619632,-0.0037304553281318448,0.017883329196763696,0.28388905001122333,0.12930685202074563
87,2024-01-17 12:15:00,1564.9,1568.0,1555.55,1557.1,6765045,2024-01-17 13:14:00,-0.005220438778040926,0.022467199801645812,0.3566557399869271,0.30596319212886713,-0.005220438778040926,0.017887110614695865,0.28394907815993364,0.1497777539223571
88,2024-01-17 13:15:00,1557.05,1562.9,1548.3,1551.35,8388993,2024-01-17 14:14:00,-0.0036995972644644575,0.022060078209333162,0.3501928850671837,0.3696323802741854,-0.0036995972644644575,0.017774865532718797,0.2821672427231254,0.17040901805516756
89,2024-01-17 14:15:00,1551.6,1552.0,1528.4,1542.4,15114339,2024-01-17 15:14:00,-0.005785874726633299,0.0010989574774941454,0.017445409121306224,0.29548099306523623,-0.005785874726633299,0.01757983923570852,0.27907129623708327,0.1907170661024324
90,2024-01-17 15:15:00,1542.35,1543.25,1533.75,1542.5,5564428,2024-01-17 15:29:00,6.483192326154448e-05,0.0020412836088552146,0.03240437270630006,0.22633657520034783,6.483192326154448e-05,0.017500675722590026,0.2778146144253529,0.213597178866252
91,2024-01-18 09:15:00,1494.0,1515.0,1480.25,1505.95,27616095,2024-01-18 10:14:00,-0.023980548502062278,0.008380468210597958,0.13303580853314803,0.177946843082973,-0.023980548502062278,0.017932100628220295,0.28466327248353607,0.23735270120253996
