,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,dt,o,h,l,c,v,e_dt,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
36,2024-01-08 10:15:00,1096.0,1097.0,1086.3,1089.7,2612,2024-01-08 11:14:00,-0.004075377117528594,0.002306038401110019,0.036607224738612755,0.06026009556562802,2024-01-08 10:15:00,1096.0,1097.0,1086.3,1089.7,2612,2024-01-08 11:14:00,-0.004075377117528594,0.004055323311776348,0.06437626181353842,0.06340979540594616
37,2024-01-08 11:15:00,1089.7,1095.3,1075.0,1079.5,5921,2024-01-08 12:14:00,-0.009404458027978407,0.004369638821549668,0.0693658658459626,0.057495534067706223,2024-01-08 11:15:00,1089.7,1095.3,1075.0,1079.5,5921,2024-01-08 12:14:00,-0.009404458027978407,0.00500625370857925,0.07947181387797313,0.06686389751682034
38,2024-01-08 12:15:00,1079.5,1080.0,1075.0,1079.95,3332,2024-01-08 13:14:00,0.0004167727954003993,0.004088655762187582,0.06490539805979753,0.05733061528985076,2024-01-08 12:15:00,1079.5,1080.0,1075.0,1079.95,3332,2024-01-08 13:14:00,0.0004167727954003993,0.004225936991410533,0.06708467001300462,0.06735316902463791
39,2024-01-08 13:15:00,1079.95,1080.0,1073.05,1078.1,2258,2024-01-08 14:14:00,-0.0017145112051903946,0.003878999004193728,0.061577200205782785,0.057296356575909715,2024-01-08 13:15:00,1079.95,1080.0,1073.05,1078.1,2258,2024-01-08 14:14:00,-0.0017145112051903946,0.004184433871277813,0.06642582840597813,0.06773813923826458
40,2024-01-08 14:15:00,1078.1,1079.85,1070.0,1079.2,3284,2024-01-08 15:14:00,0.0010197933484739773,0.003777577343100574,0.05996718124893742,0.058484574019818616,2024-01-08 14:15:00,1078.1,1079.85,1070.0,1079.2,3284,2024-01-08 15:14:00,0.0010197933484739773,0.003822495785011832,0.06068023940840356,0.0670966366661419
41,2024-01-08 15:15:00,1079.2,1079.5,1068.0,1075.0,2650,2024-01-08 15:29:00,-0.0038993643317830357,0.003765878873390435,0.05978147379949912,0.0631194238319959,2024-01-08 15:15:00,1079.2,1079.5,1068.0,1075.0,2650,2024-01-08 15:29:00,-0.0038993643317830357,0.003490598050966507,0.055411526218464846,0.06558849098628543
42,2024-01-09 09:15:00,1076.0,1085.85,1050.5,1064.4,10911,2024-01-09 10:14:00,-0.009909401458229012,0.003946325420941595,0.06264597393806248,0.06177544545041587,2024-01-09 09:15:00,1076.0,1085.85,1050.5,1064.4,10911,2024-01-09 10:14:00,-0.009909401458229012,0.00419170306685702,0.06654122330838255,0.06512330695565757
43,2024-01-09 10:15:00,1064.35,1071.0,1064.35,1069.2,2218,2024-01-09 11:14:00,0.00449944516122975,0.004849941363639237,0.0769904323286094,0.06419245230417824,2024-01-09 10:15:00,1064.35,1071.0,1064.35,1069.2,2218,2024-01-09 11:14:00,0.00449944516122975,0.004486594354802962,0.07122247737860957,0.06549498010180647
44,2024-01-09 11:15:00,1069.0,1069.9,1063.5,1064.45,1493,2024-01-09 12:14:00,-0.004452471443016483,0.004940426304331918,0.07842683623142498,0.06756237950930669,2024-01-09 11:15:00,1069.0,1069.9,1063.5,1064.45,1493,2024-01-09 12:14:00,-0.004452471443016483,0.004441845766904782,0.07051211556801017,0.06623836868499246
45,2024-01-09 12:15:00,1064.45,1076.1,1063.7,1070.6,4119,2024-01-09 13:14:00,0.005761005137533451,0.00589673553830098,0.0936077746887659,0.07429049819727238,2024-01-09 12:15:00,1064.45,1076.1,1063.7,1070.6,4119,2024-01-09 13:14:00,0.005761005137533451,0.004985200097417056,0.079137598161963,0.0680863754154328
46,2024-01-09 13:15:00,1070.25,1073.05,1062.0,1064.0,4050,2024-01-09 14:14:00,-0.006183848057691138,0.006140644012721056,0.09747970168462597,0.08183014377429773,2024-01-09 13:15:00,1070.25,1073.05,1062.0,1064.0,4050,2024-01-09 14:14:00,-0.006183848057691138,0.005104247760341792,0.08102742122353679,0.06975149135643263
47,2024-01-09 14:15:00,1064.0,1072.3,1060.05,1065.15,10771,2024-01-09 15:14:00,0.0010802433946226668,0.004744815336681755,0.07532160838671079,0.08436527066402741,2024-01-09 14:15:00,1064.0,1072.3,1060.05,1065.15,10771,2024-01-09 15:14:00,0.0010802433946226668,0.004607726166058527,0.0731453852692558,0.06911884849556091
48,2024-01-09 15:15:00,1065.15,1066.65,1059.0,1064.0,1846,2024-01-09 15:29:00,-0.001080243394622753,0.004215062810954822,0.06691204774981992,0.08234959374826951,2024-01-09 15:15:00,1065.15,1066.65,1059.0,1064.0,1846,2024-01-09 15:29:00,-0.001080243394622753,0.004572458963921463,0.0725855357915055,0.06966893507341099
49,2024-01-10 09:15:00,1068.35,1074.45,1062.55,1067.25,2360,2024-01-10 10:14:00,0.0030498557364817083,0.004041890382592618,0.06416302067354268,0.07949683063669305,2024-01-10 09:15:00,1068.35,1074.45,1062.55,1067.25,2360,2024-01-10 10:14:00,0.0030498557364817083,0.0047680614639257005,0.07569062921650785,0.07059541515446396
50,2024-01-10 10:15:00,1067.25,1067.25,1057.05,1059.9,2309,2024-01-10 11:14:00,-0.006910682604862181,0.003935832404670372,0.06247940246872283,0.07327115619268443,2024-01-10 10:15:00,1067.25,1067.25,1057.05,1059.9,2309,2024-01-10 11:14:00,-0.006910682604862181,0.005017261020157121,0.07964654953220382,0.07249204616684399
51,2024-01-10 11:15:00,1059.9,1060.4,1057.75,1058.95,4071,2024-01-10 12:14:00,-0.0008967128995988579,0.0033367727749210882,0.05296962566383261,0.06436914098852577,2024-01-10 11:15:00,1059.9,1060.4,1057.75,1058.95,4071,2024-01-10 12:14:00,-0.0008967128995988579,0.004972558577772205,0.07893692025891773,0.07484458557088927
52,2024-01-10 12:15:00,1058.95,1058.95,1033.1,1049.5,11832,2024-01-10 13:14:00,-0.008963990872922835,0.004371837218939518,0.06940076432262123,0.06318497217570784,2024-01-10 12:15:00,1058.95,1058.95,1033.1,1049.5,11832,2024-01-10 13:14:00,-0.008963990872922835,0.004818456490704021,0.07649062546552711,0.07583952578660373
53,2024-01-10 13:15:00,1048.7,1050.55,988.0,1032.0,86484,2024-01-10 14:14:00,-0.016815193219179677,0.006847901907148113,0.10870707269327298,0.07154397716439846,2024-01-10 13:15:00,1048.7,1050.55,988.0,1032.0,86484,2024-01-10 14:14:00,-0.016815193219179677,0.0062382158417922965,0.09902860645275521,0.07862013869401831
54,2024-01-10 14:15:00,1032.0,1039.95,1027.95,1034.15,12707,2024-01-10 15:14:00,0.002081166203824671,0.006595127316680243,0.1046944004684679,0.0796502531233835,2024-01-10 14:15:00,1032.0,1039.95,1027.95,1034.15,12707,2024-01-10 15:14:00,0.002081166203824671,0.006447209961156029,0.10234628524462351,0.08180355566167964
55,2024-01-10 15:15:00,1034.15,1035.5,1030.0,1035.5,8705,2024-01-10 15:29:00,0.001304568590306216,0.007231248444486253,0.11479251031579972,0.0901128746927989,2024-01-10 15:15:00,1034.15,1035.5,1030.0,1035.5,8705,2024-01-10 15:29:00,0.001304568590306216,0.005970368055854136,0.09477665466788539,0.08336746131227188
56,2024-01-11 09:15:00,1055.0,1055.0,1031.35,1048.25,7802,2024-01-11 10:14:00,0.012237705215233197,0.009982691107142162,0.15847030850804522,0.1112130112616414,2024-01-11 09:15:00,1055.0,1055.0,1031.35,1048.25,7802,2024-01-11 10:14:00,0.012237705215233197,0.007462271319395573,0.11845988476086318,0.08711070766600451
57,2024-01-11 10:15:00,1048.25,1050.6,1042.9,1047.55,5471,2024-01-11 11:14:00,-0.0006680026968508323,0.009362689710810364,0.14862809146480485,0.12705847669007814,2024-01-11 10:15:00,1048.25,1050.6,1042.9,1047.55,5471,2024-01-11 11:14:00,-0.0006680026968508323,0.007420338130933562,0.11779421603076028,0.09157559074215496
58,2024-01-11 11:15:00,1047.55,1070.0,1047.55,1053.75,39822,2024-01-11 12:14:00,0.005901125962043989,0.004562123404895769,0.07242146387844861,0.11980135492711326,2024-01-11 11:15:00,1047.55,1070.0,1047.55,1053.75,39822,2024-01-11 12:14:00,0.005901125962043989,0.007763122108452558,0.12323574297835718,0.09664061146084013
59,2024-01-11 12:15:00,1053.75,1058.55,1039.2,1045.0,21713,2024-01-11 13:14:00,-0.008338344917153807,0.006847984050664676,0.10870837668117284,0.12060415016965424,2024-01-11 12:15:00,1053.75,1058.55,1039.2,1045.0,21713,2024-01-11 13:14:00,-0.008338344917153807,0.007923824777323783,0.12578681875950293,0.10165023041513963
60,2024-01-11 13:15:00,1045.0,1052.9,1041.5,1041.5,11051,2024-01-11 14:14:00,-0.003354903697884745,0.007199142075513912,0.11428283750898716,0.12050221560829173,2024-01-11 13:15:00,1045.0,1052.9,1041.5,1041.5,11051,2024-01-11 14:14:00,-0.003354903697884745,0.007778729756910609,0.12348350671658033,0.10603392613357729
61,2024-01-11 14:15:00,1041.5,1044.25,1032.0,1032.0,9702,2024-01-11 15:14:00,-0.009163314659518673,0.005499106291144501,0.08729560607687462,0.10626727512205761,2024-01-11 14:15:00,1041.5,1044.25,1032.0,1032.0,9702,2024-01-11 15:14:00,-0.009163314659518673,0.008077505980091907,0.12822643222176142,0.11096287732986165
62,2024-01-11 15:15:00,1032.0,1039.0,1025.8,1028.3,9161,2024-01-11 15:29:00,-0.0035917138063631462,0.005360485856530113,0.08509507489714646,0.09356067180852594,2024-01-11 15:15:00,1032.0,1039.0,1025.8,1028.3,9161,2024-01-11 15:29:00,-0.0035917138063631462,0.007809102074449515,0.12396565231027212,0.11571038001433616
63,2024-01-12 09:15:00,1033.0,1044.95,1026.05,1029.1,5765,2024-01-12 10:14:00,0.0007776806069009401,0.003638556802768164,0.05776029858784113,0.09062843875040445,2024-01-12 09:15:00,1033.0,1044.95,1026.05,1029.1,5765,2024-01-12 10:14:00,0.0007776806069009401,0.006070643486236596,0.09636847777629715,0.11544436714669035
64,2024-01-12 10:15:00,1029.1,1031.15,1022.9,1030.2,3877,2024-01-12 11:14:00,0.0010683242894390249,0.0037195779904155278,0.05904647006849327,0.08069605742786853,2024-01-12 10:15:00,1029.1,1031.15,1022.9,1030.2,3877,2024-01-12 11:14:00,0.0010683242894390249,0.006038746296710935,0.09586212559025638,0.11479595118125363
65,2024-01-12 11:15:00,1030.2,1035.0,1027.6,1029.5,4237,2024-01-12 12:14:00,-0.0006797106636407922,0.003800397397397374,0.06032943838038337,0.06990537760214777,2024-01-12 11:15:00,1030.2,1035.0,1027.6,1029.5,4237,2024-01-12 12:14:00,-0.0006797106636407922,0.006012588640052789,0.09544688566387038,0.11486297428085213
66,2024-01-12 12:15:00,1029.5,1032.0,1027.0,1028.45,1128,2024-01-12 13:14:00,-0.001020433043671868,0.0016598205994250762,0.026348835162365462,0.05771602341924594,2024-01-12 12:15:00,1029.5,1032.0,1027.0,1028.45,1128,2024-01-12 13:14:00,-0.001020433043671868,0.004240344745264859,0.0673133860149021,0.10974832440625604
67,2024-01-12 13:15:00,1028.5,1029.9,1019.05,1024.15,8229,2024-01-12 14:14:00,-0.004189814177507468,0.0018726038440671086,0.02972666445327087,0.04664234133047082,2024-01-12 13:15:00,1028.5,1029.9,1019.05,1024.15,8229,2024-01-12 14:14:00,-0.004189814177507468,0.004268975807794237,0.06776789004224774,0.10474569180740478
68,2024-01-12 14:15:00,1024.0,1031.1,1018.0,1022.2,4653,2024-01-12 15:14:00,-0.001905832912485498,0.0017192782078390841,0.02729269543485022,0.04054882069987264,2024-01-12 14:15:00,1024.0,1031.1,1018.0,1022.2,4653,2024-01-12 15:14:00,-0.001905832912485498,0.0033118277600080468,0.05257363582836838,0.09767948109240589
69,2024-01-12 15:15:00,1022.2,1029.45,1019.45,1029.0,2317,2024-01-12 15:29:00,0.006630289499870297,0.0036435996572748075,0.05784035142137589,0.04030759697044916,2024-01-12 15:15:00,1022.2,1029.45,1019.45,1029.0,2317,2024-01-12 15:29:00,0.006630289499870297,0.0039078417411087425,0.06203506445982833,0.09130430566243844
70,2024-01-15 09:15:00,1027.5,1088.0,1023.8,1048.85,46461,2024-01-15 10:14:00,0.019106869010748952,0.008507788147231287,0.13505694986878178,0.055253099268128845,2024-01-15 09:15:00,1027.5,1088.0,1023.8,1048.85,46461,2024-01-15 10:14:00,0.019106869010748952,0.00724838378864923,0.11506452547150815,0.09046240753793122
71,2024-01-15 10:15:00,1048.3,1064.4,1046.2,1056.0,36874,2024-01-15 11:14:00,0.006793859421408289,0.008205006809321295,0.13025044513833425,0.0760334212633226,2024-01-15 10:15:00,1048.3,1064.4,1046.2,1056.0,36874,2024-01-15 11:14:00,0.006793859421408289,0.006630795256674018,0.10526061146247692,0.08816582546200277
72,2024-01-15 11:15:00,1055.2,1055.2,1046.95,1049.6,10192,2024-01-15 12:14:00,-0.006079046076382226,0.00866341873592148,0.1375275088731948,0.09759359014730738,2024-01-15 11:15:00,1055.2,1055.2,1046.95,1049.6,10192,2024-01-15 12:14:00,-0.006079046076382226,0.00688873487963947,0.10935527603629502,0.08670478783460506
73,2024-01-15 12:15:00,1048.5,1058.4,1038.5,1039.95,21896,2024-01-15 13:14:00,-0.00923650413321533,0.010180206796574845,0.16160577287367933,0.12445620563507323,2024-01-15 12:15:00,1048.5,1058.4,1038.5,1039.95,21896,2024-01-15 13:14:00,-0.00923650413321533,0.0076830270716725085,0.12196427368693369,0.0892643674256687
