,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_30,calculate_change_3,calculate_stdv_3_7,calculate_annualized_volatility_3,calculate_avg_volatility_3_10,calculate_change_4,calculate_stdv_4_44,calculate_annualized_volatility_4,calculate_avg_volatility_4_10
1161,2022-12-12 09:15:00,246.7,248.75,244.7,247.0,4924076,2022-12-12 15:29:00,2022-12-12 09:15:00,0.010126583143861854,0.0,0.0,0.0,0.010126583143861854,0.0,0.0,0.0,0.010126583143861854,0.11720138623596552,1.074168447960135,1.5329991912982792,0.010126583143861854,0.22726003793479665,2.0828726525494825,2.202664510927195
1162,2022-12-13 09:15:00,251.0,255.95,249.35,251.7,10825438,2022-12-13 15:29:00,2022-12-13 09:15:00,0.1884956551329298,0.0,0.0,0.0,0.1884956551329298,0.0,0.0,0.0,0.1884956551329298,0.11708579314554596,1.073109019786812,1.420801035687838,0.1884956551329298,0.2293302126094722,2.101846116846445,2.1751952827222527
1163,2022-12-14 09:15:00,251.6,254.7,248.55,251.1,5930792,2022-12-14 15:29:00,2022-12-14 09:15:00,-0.023866359777308555,0.0,0.0,0.0,-0.023866359777308555,0.0,0.0,0.0,-0.023866359777308555,0.12120588863055853,1.1108703186478437,1.3744699470619282,-0.023866359777308555,0.22634612116192743,2.0744964669683568,2.1470477145644744
1164,2022-12-15 09:15:00,251.3,254.7,249.8,250.25,5929262,2022-12-15 15:29:00,2022-12-15 09:15:00,-0.03390847968209387,0.0,0.0,0.0,-0.03390847968209387,0.0,0.0,0.0,-0.03390847968209387,0.11943495937871848,1.0946394839539066,1.2991485013457007,-0.03390847968209387,0.22546947202671971,2.0664618449283427,2.1304788943687276
1165,2022-12-16 09:15:00,250.75,250.8,244.35,247.1,5982438,2022-12-16 15:29:00,2022-12-16 09:15:00,-0.12667305200765572,0.0,0.0,0.0,-0.12667305200765572,0.0,0.0,0.0,-0.12667305200765572,0.12786663941616028,1.171917107968357,1.2331206357484434,-0.12667305200765572,0.22483874155677377,2.060681104685058,2.111758574967164
1166,2022-12-19 09:15:00,247.4,248.65,242.3,245.0,5304541,2022-12-19 15:29:00,2022-12-19 09:15:00,-0.08534902449837331,0.0,0.0,0.0,-0.08534902449837331,0.0,0.0,0.0,-0.08534902449837331,0.10861624472904027,0.9954843263453506,1.1740586757694627,-0.08534902449837331,0.22468301694847362,2.0592538650748526,2.098883504157677
1167,2022-12-20 09:15:00,244.4,245.15,239.55,243.9,5359175,2022-12-20 15:29:00,2022-12-20 09:15:00,-0.04499905322852328,0.0,0.0,0.0,-0.04499905322852328,0.0,0.0,0.0,-0.04499905322852328,0.09318179828985702,0.8540252881107528,1.107801113430496,-0.04499905322852328,0.22457961586126307,2.0583061784566863,2.0885043190445387
1168,2022-12-21 09:15:00,245.2,249.95,240.1,242.95,8224081,2022-12-21 15:29:00,2022-12-21 09:15:00,-0.03902644369962659,0.0,0.0,0.0,-0.03902644369962659,0.0,0.0,0.0,-0.03902644369962659,0.09275450782480915,0.8501091063111234,1.0411029207615612,-0.03902644369962659,0.2235337796777015,2.048720931505297,2.0790275861301346
1169,2022-12-22 09:15:00,247.95,248.8,223.5,231.2,17711806,2022-12-22 15:29:00,2022-12-22 09:15:00,-0.4957252405368961,0.0,0.0,0.0,-0.4957252405368961,0.0,0.0,0.0,-0.4957252405368961,0.15640466702294253,1.4334724513539951,1.0890221933681699,-0.4957252405368961,0.23405857489148493,2.14518227298744,2.0792722885634003
1170,2022-12-23 09:15:00,228.6,233.2,225.55,227.4,10667895,2022-12-23 15:29:00,2022-12-23 09:15:00,-0.16572555481786713,0.0,0.0,0.0,-0.16572555481786713,0.0,0.0,0.0,-0.16572555481786713,0.15157471010652426,1.3892051650082708,1.1047000715446547,-0.16572555481786713,0.234854411113474,2.1524762324435454,2.0850297666445505
1171,2022-12-26 09:15:00,227.0,235.95,225.45,233.9,6749189,2022-12-26 15:29:00,2022-12-26 09:15:00,0.2818309227369769,0.0,0.0,0.0,0.2818309227369769,0.0,0.0,0.0,0.2818309227369769,0.2118953811029679,1.9420532466317313,1.1914885514118143,0.2818309227369769,0.2391989616751045,2.1922946960620147,2.095971970995804
1172,2022-12-27 09:15:00,235.75,237.95,232.75,237.0,6262385,2022-12-27 15:29:00,2022-12-27 09:15:00,0.13166467544997884,0.0,0.0,0.0,0.13166467544997884,0.0,0.0,0.0,0.13166467544997884,0.2254913931265331,2.066662755126766,1.29084392494581,0.13166467544997884,0.24034510437505335,2.202799267421488,2.106067286053308
1173,2022-12-28 09:15:00,236.8,237.15,232.35,233.0,5411490,2022-12-28 15:29:00,2022-12-28 09:15:00,-0.17021687569430635,0.0,0.0,0.0,-0.17021687569430635,0.0,0.0,0.0,-0.17021687569430635,0.22880608699133428,2.0970424262088803,1.3894611357019133,-0.17021687569430635,0.24091141398193797,2.207989580702147,2.1194165974266874
1174,2022-12-29 09:15:00,232.25,236.85,227.75,236.1,10039687,2022-12-29 15:29:00,2022-12-29 09:15:00,0.13216990525766736,0.0,0.0,0.0,0.13216990525766736,0.0,0.0,0.0,0.13216990525766736,0.23989477417543692,2.1986719229665543,1.4998643796031783,0.13216990525766736,0.2405551239269557,2.2047241284095143,2.133242825774804
1175,2022-12-30 09:15:00,237.4,238.5,232.7,234.2,8280958,2022-12-30 15:29:00,2022-12-30 09:15:00,-0.08079992927850291,0.0,0.0,0.0,-0.08079992927850291,0.0,0.0,0.0,-0.08079992927850291,0.240155749118173,2.2010637978257037,1.6027790485889128,-0.08079992927850291,0.23831714182541786,2.1842126836410074,2.1455959836703995
1176,2023-01-02 09:15:00,236.3,242.3,235.5,240.3,7623369,2023-01-02 15:29:00,2023-01-02 09:15:00,0.25712691578806307,0.0,0.0,0.0,0.25712691578806307,0.0,0.0,0.0,0.25712691578806307,0.17809471767910537,1.6322650492725808,1.666457120881636,0.25712691578806307,0.1878505080196001,1.721678344671453,2.1118384316300594
1177,2023-01-03 09:15:00,240.35,243.65,239.0,239.5,6269503,2023-01-03 15:29:00,2023-01-03 09:15:00,-0.033347258914533856,0.0,0.0,0.0,-0.033347258914533856,0.0,0.0,0.0,-0.033347258914533856,0.15971690163113778,1.4638295829770094,1.7274375503682617,-0.033347258914533856,0.18657168202520172,1.7099577108314374,2.0770035848675343
1178,2023-01-04 09:15:00,240.9,241.95,236.4,239.7,10552928,2023-01-04 15:29:00,2023-01-04 09:15:00,0.00834724589368742,0.0,0.0,0.0,0.00834724589368742,0.0,0.0,0.0,0.00834724589368742,0.13576856518205596,1.2443394538846346,1.7668605851256127,0.00834724589368742,0.1851900878552339,1.6972951911042629,2.041861010827431
